,word,frequency
0,el,3368003
1,de,2866652
2,en,1355085
3,y,980403
4,ser,892446
5,un,854017
6,a,542198
7,que,513735
8,del,460602
9,suyo,380397
10,se,338684
11,por,326163
12,con,295490
13,para,245769
14,como,218391
15,él,178418
16,haber,174310
17,al,158598
18,este,157445
19,más,132260
20,no,131102
21,estar,126589
22,tener,119340
23,of,111868
24,año,105037
25,o,102614
26,primero,93591
27,poder,90536
28,the,88369
29,también,84451
30,otro,77738
31,The,76743
32,grande,72312
33,hacer,70818
34,pero,66419
35,and,63904
36,dos,63031
37,ciudad,61503
38,entre,61482
39,todo,55582
40,durante,53909
41,estado,53268
42,condado,51503
43,desde,49925
44,cuando,49076
45,familia,48994
46,nuevo,48217
47,in,46525
48,población,46456
49,estadounidense,46190
50,parte,45572
51,ese,44909
52,hasta,44281
53,sobre,44174
54,ir,42294
55,encontrar,42043
56,conocer,40613
57,mucho,39467
58,incluir,37324
59,dar,36827
60,alguno,35110
61,decir,35078
62,donde,34874
63,segundo,34613
64,ubicar,33671
65,nombre,33593
66,uno,32886
67,hijo,32726
68,especie,32435
69,mismo,32065
70,erar|ser,31910
71,álbum,31544
72,grupo,31053
73,pequeño,30507
74,ver,30128
75,tres,29281
76,bajo,28815
77,si,28779
78,historia,28679
79,bueno,28339
80,vez,28182
81,serie,27902
82,canción,27852
83,total,27776
84,yo,27514
85,escribir,26889
86,muy,26884
87,varios,26632
88,guerra,25879
89,comenzar,25523
90,banda,25100
91,película,25092
92,to,25068
93,final,24888
94,cualquier,24738
95,isla,24586
96,miembro,24569
97,llamar,24398
98,usar,24360
99,universidad,24174
100,cual,24172
101,día,23483
102,lugar,23476
103,equipo,23311
104,sur,23004
105,utilizar,22953
106,tiempo,22942
107,nacer,22867
108,cada,22494
109,norte,22439
110,vida,22256
111,nacional,22249
112,isbn,22211
113,persona,22163
114,antes,22048
115,lanzar,22026
116,convertir,21537
117,principal,21506
118,julio,21468
119,ganar,21292
120,trabajar,21134
121,formar,21107
122,mundo,21025
123,publicar,21024
124,pasar,20994
125,llevar,20969
126,aunque,20968
127,llegar,20963
128,contra,20906
129,río,20846
130,raza,20768
131,sólo,20708
132,último,20536
133,km²,20488
134,siglo,20411
135,sin,20308
136,forma,20039
137,versión,20016
138,crear,19975
139,octubre,19735
140,Santo,19711
141,quien,19548
142,enero,19490
143,mayo,19457
144,junio,19434
145,John,19336
146,sistema,19327
147,provincia,19220
148,pueblo,19127
149,producir,19062
150,estudio,19015
151,padre,18987
152,número,18919
153,país,18839
154,juego,18819
155,recibir,18811
156,partido,18675
157,septiembre,18431
158,abril,18356
159,noviembre,18099
160,agosto,17956
161,francés,17930
162,temporada,17763
163,región,17722
164,trabajo,17681
165,deber,17655
166,New,17621
167,tomar,17617
168,medio,17578
169,diciembre,17569
170,seguir,17384
171,latino,17359
172,marzo,17350
173,aparecer,17319
174,actor,17274
175,entonces,17194
176,hermano,17153
177,febrero,17099
178,obra,17053
179,cuatro,17011
180,municipio,17004
181,luego,16932
182,hombre,16853
183,mujer,16802
184,importante,16785
185,construir,16761
186,tierra,16754
187,premio,16708
188,alemán,16701
189,gobierno,16489
190,hacia,16454
191,así,16412
192,vivir,16313
193,referencia,16273
194,general,16198
195,hispano,16044
196,internacional,16012
197,tras,15888
198,libro,15805
199,for,15779
200,solo,15760
201,dirigir,15737
202,música,15652
203,morir,15553
204,área,15549
205,siguiente,15496
206,casa,15422
207,presidente,15404
208,rey,15303
209,tarde,15234
210,realizar,15131
211,oficial,15123
212,densidad,15121
213,on,15117
214,agua,15088
215,centro,15039
216,pertenecer,15019
217,género,15005
218,alto,14906
219,querer,14731
220,dejar,14729
221,carrera,14725
222,antiguo,14654
223,después,14606
224,club,14482
225,propio,14462
226,porque,14398
227,localidad,14364
228,mundial,14359
229,cerca,14309
230,tipo,14270
231,volver,14221
232,único,14152
233,distrito,14123
234,director,14111
235,mío,14101
236,tratar,14053
237,muerte,14028
238,además,14021
239,I,13997
240,político,13924
241,situar,13900
242,ahora,13754
243,jugar,13690
244,diferente,13645
245,inglés,13570
246,ya,13469
247,fuerza,13458
248,mostrar,13445
249,poner,13301
250,según,13286
251,británico,13217
252,punto,13101
253,considerar,13015
254,junto,12952
255,desarrollar,12839
256,permitir,12797
257,línea,12786
258,fundar,12711
259,español,12691
260,Francia,12679
261,ejército,12654
262,Press,12552
263,red,12495
264,escuela,12404
265,habitante,12316
266,tercero,12202
267,enlace,12197
268,edad,12096
269,II,12093
270,compañía,12064
271,externo,12047
272,arte,12045
273,nombrar,12031
274,original,12031
275,saber,12016
276,jugador,11972
277,italiano,11911
278,university,11895
279,niño,11782
280,planta,11760
281,papel,11754
282,per,11713
283,mientras,11693
284,proyecto,11660
285,título,11574
286,programa,11572
287,batalla,11529
288,nosotros,11521
289,establecer,11521
290,iglesia,11458
291,pocos,11434
292,momento,11428
293,episodio,11390
294,zona,11388
295,real,11384
296,musical,11381
297,personaje,11355
298,obtener,11354
299,terminar,11339
300,Londres,11301
301,presentar,11290
302,mes,11283
303,California,11265
304,cinco,11131
305,servicio,11121
306,bien,11104
307,orden,11100
308,parecer,11032
309,capital,10949
310,central,10940
311,basar,10927
312,base,10916
313,alrededor,10836
314,militar,10820
315,censo,10781
316,cambiar,10757
317,cápita,10684
318,público,10684
319,perder,10643
320,España,10637
321,world,10611
322,modelo,10611
323,principio,10538
324,amigo,10521
325,casar,10503
326,mantener,10490
327,problema,10372
328,hablar,10371
329,China,10328
330,Alemania,10325
331,tal,10323
332,by,10317
333,éxito,10256
334,tanto,10240
335,contener,10220
336,cosa,10220
337,desarrollo,10196
338,producción,10184
339,millones,10169
340,David,10153
341,descubrir,10148
342,pensar,10147
343,unir,10141
344,edificio,10111
345,ambo,10064
346,describir,10017
347,empezar,10015
348,relación,10005
349,representar,9970
350,joven,9945
351,campo,9941
352,nuestro,9934
353,derecho,9900
354,artista,9850
355,oeste,9849
356,lista,9831
357,blanco,9825
358,república,9822
359,popular,9816
360,estudiar,9791
361,resultado,9785
362,Europa,9748
363,decidir,9747
364,México,9741
365,largo,9720
366,with,9694
367,qué,9677
368,algo,9659
369,interpretar,9632
370,existir,9624
371,from,9578
372,madre,9568
373,continuar,9560
374,caso,9550
375,local,9544
376,elegir,9533
377,escritor,9517
378,nivel,9501
379,renta,9455
380,anunciar,9416
381,tan,9401
382,participar,9335
383,sede,9312
384,menos,9223
385,regresar,9210
386,París,9158
387,empresa,9094
388,Italia,9094
389,casi,9086
390,diseño,9074
391,enviar,9039
392,uso,9029
393,movimiento,9006
394,componer,8999
395,grabar,8995
396,idea,8967
397,humano,8942
398,York,8937
399,james,8933
400,edición,8917
401,mayoría,8915
402,Japón,8885
403,entrar,8873
404,actual,8859
405,aquel,8823
406,manera,8806
407,profesor,8803
408,semana,8792
409,esposo,8774
410,museo,8774
411,cuerpo,8772
412,Inglaterra,8727
413,televisión,8724
414,A,8670
415,cuenta,8662
416,William,8624
417,sitio,8623
418,tema,8597
419,oficina,8536
420,príncipe,8519
421,natural,8517
422,seis,8495
423,quedar,8487
424,Juan,8467
425,Robert,8456
426,finalmente,8446
427,is,8442
428,video,8431
429,cómo,8384
430,futbol,8366
431,similar,8335
432,resto,8334
433,alcanzar,8332
434,Australia,8260
435,cantante,8258
436,social,8250
437,crear|creer,8194
438,rock,8174
439,gran,8130
440,actualmente,8128
441,cambio,8121
442,parque,8103
443,control,8096
444,servir,8092
445,negro,8082
446,división,8076
447,at,8065
448,comunidad,8060
449,aquí,8041
450,visitar,8023
451,Paul,7961
452,gente,7928
453,lado,7890
454,ciencia,7870
455,década,7862
456,territorio,7854
457,nunca,7852
458,estilo,7833
459,George,7825
460,anterior,7789
461,ministro,7777
462,Santa,7773
463,profesional,7765
464,costa,7725
465,llamada,7720
466,tú,7704
467,voz,7687
468,ninguno,7658
469,poco,7655
470,von,7654
471,color,7647
472,proceso,7622
473,departamento,7622
474,vender,7619
475,Michael,7573
476,aeropuerto,7571
477,diseñar,7557
478,allí,7556
479,unidad,7553
480,et,7543
481,ayudar,7541
482,investigación,7532
483,der,7475
484,campeonato,7459
485,común,7436
486,tocar,7432
487,posteriormente,7431
488,cuyo,7418
489,productor,7414
490,festival,7402
491,personal,7399
